item,category,department,quantity_real,quantity_pred,porcent_diff
ACCESORIES_1_032,ACCESORIES,ACCESORIES_1,949,854,11.124121779859484
ACCESORIES_1_033,ACCESORIES,ACCESORIES_1,68,123,44.71544715447154
ACCESORIES_1_034,ACCESORIES,ACCESORIES_1,158,154,2.5974025974025974
ACCESORIES_1_035,ACCESORIES,ACCESORIES_1,47,233,79.82832618025752
ACCESORIES_1_036,ACCESORIES,ACCESORIES_1,167,310,46.12903225806452
ACCESORIES_1_037,ACCESORIES,ACCESORIES_1,256,172,48.837209302325576
ACCESORIES_1_038,ACCESORIES,ACCESORIES_1,97,259,62.54826254826254
ACCESORIES_1_039,ACCESORIES,ACCESORIES_1,36,104,65.38461538461539
ACCESORIES_1_040,ACCESORIES,ACCESORIES_1,296,155,90.96774193548387
ACCESORIES_1_041,ACCESORIES,ACCESORIES_1,61,102,40.19607843137255
ACCESORIES_1_042,ACCESORIES,ACCESORIES_1,114,195,41.53846153846154
ACCESORIES_1_043,ACCESORIES,ACCESORIES_1,814,764,6.544502617801047
ACCESORIES_1_044,ACCESORIES,ACCESORIES_1,95,100,5.0
ACCESORIES_1_045,ACCESORIES,ACCESORIES_1,29,102,71.56862745098039
ACCESORIES_1_046,ACCESORIES,ACCESORIES_1,144,131,9.923664122137405
ACCESORIES_1_047,ACCESORIES,ACCESORIES_1,140,225,37.77777777777778
ACCESORIES_1_048,ACCESORIES,ACCESORIES_1,2103,1290,63.0232558139535
ACCESORIES_1_049,ACCESORIES,ACCESORIES_1,114,171,33.33333333333333
ACCESORIES_1_050,ACCESORIES,ACCESORIES_1,167,118,41.52542372881356
ACCESORIES_1_051,ACCESORIES,ACCESORIES_1,58,104,44.230769230769226
ACCESORIES_1_052,ACCESORIES,ACCESORIES_1,32,104,69.23076923076923
ACCESORIES_1_053,ACCESORIES,ACCESORIES_1,108,110,1.8181818181818181
ACCESORIES_1_054,ACCESORIES,ACCESORIES_1,38,139,72.66187050359713
ACCESORIES_1_055,ACCESORIES,ACCESORIES_1,325,143,127.27272727272727
ACCESORIES_1_056,ACCESORIES,ACCESORIES_1,559,435,28.50574712643678
ACCESORIES_1_057,ACCESORIES,ACCESORIES_1,132,143,7.6923076923076925
ACCESORIES_1_058,ACCESORIES,ACCESORIES_1,53,143,62.93706293706294
ACCESORIES_1_060,ACCESORIES,ACCESORIES_1,95,514,81.51750972762646
ACCESORIES_1_061,ACCESORIES,ACCESORIES_1,89,137,35.03649635036496
ACCESORIES_1_062,ACCESORIES,ACCESORIES_1,40,208,80.76923076923077
ACCESORIES_1_063,ACCESORIES,ACCESORIES_1,65,152,57.23684210526315
ACCESORIES_1_064,ACCESORIES,ACCESORIES_1,365,172,112.20930232558139
ACCESORIES_1_065,ACCESORIES,ACCESORIES_1,30,143,79.02097902097903
ACCESORIES_1_066,ACCESORIES,ACCESORIES_1,132,20,560.0
ACCESORIES_1_067,ACCESORIES,ACCESORIES_1,894,854,4.683840749414521
ACCESORIES_1_068,ACCESORIES,ACCESORIES_1,113,146,22.602739726027394
ACCESORIES_1_069,ACCESORIES,ACCESORIES_1,56,155,63.87096774193548
ACCESORIES_1_070,ACCESORIES,ACCESORIES_1,30,104,71.15384615384616
ACCESORIES_1_072,ACCESORIES,ACCESORIES_1,147,130,13.076923076923078
ACCESORIES_1_073,ACCESORIES,ACCESORIES_1,191,152,25.657894736842106
ACCESORIES_1_074,ACCESORIES,ACCESORIES_1,323,197,63.95939086294417
ACCESORIES_1_075,ACCESORIES,ACCESORIES_1,87,146,40.41095890410959
ACCESORIES_1_076,ACCESORIES,ACCESORIES_1,309,227,36.12334801762114
ACCESORIES_1_077,ACCESORIES,ACCESORIES_1,81,141,42.5531914893617
ACCESORIES_1_078,ACCESORIES,ACCESORIES_1,227,151,50.331125827814574
ACCESORIES_1_079,ACCESORIES,ACCESORIES_1,173,171,1.1695906432748537
ACCESORIES_1_080,ACCESORIES,ACCESORIES_1,523,850,38.470588235294116
ACCESORIES_1_081,ACCESORIES,ACCESORIES_1,142,165,13.939393939393941
ACCESORIES_1_082,ACCESORIES,ACCESORIES_1,39,149,73.8255033557047
ACCESORIES_1_083,ACCESORIES,ACCESORIES_1,94,120,21.666666666666668
ACCESORIES_1_084,ACCESORIES,ACCESORIES_1,319,120,165.83333333333334
ACCESORIES_1_085,ACCESORIES,ACCESORIES_1,180,165,9.090909090909092
ACCESORIES_1_086,ACCESORIES,ACCESORIES_1,206,158,30.37974683544304
ACCESORIES_1_087,ACCESORIES,ACCESORIES_1,62,181,65.74585635359117
ACCESORIES_1_088,ACCESORIES,ACCESORIES_1,112,102,9.803921568627452
ACCESORIES_1_089,ACCESORIES,ACCESORIES_1,268,154,74.02597402597402
ACCESORIES_1_090,ACCESORIES,ACCESORIES_1,570,642,11.214953271028037
ACCESORIES_1_091,ACCESORIES,ACCESORIES_1,186,764,75.6544502617801
ACCESORIES_1_092,ACCESORIES,ACCESORIES_1,104,133,21.804511278195488
ACCESORIES_1_093,ACCESORIES,ACCESORIES_1,57,134,57.46268656716418
ACCESORIES_1_094,ACCESORIES,ACCESORIES_1,69,155,55.483870967741936
ACCESORIES_1_095,ACCESORIES,ACCESORIES_1,85,195,56.41025641025641
ACCESORIES_1_097,ACCESORIES,ACCESORIES_1,129,139,7.194244604316546
ACCESORIES_1_098,ACCESORIES,ACCESORIES_1,230,184,25.0
ACCESORIES_1_099,ACCESORIES,ACCESORIES_1,304,184,65.21739130434783
ACCESORIES_1_100,ACCESORIES,ACCESORIES_1,114,114,0.0
ACCESORIES_1_102,ACCESORIES,ACCESORIES_1,45,152,70.39473684210526
ACCESORIES_1_103,ACCESORIES,ACCESORIES_1,1036,764,35.602094240837694
ACCESORIES_1_104,ACCESORIES,ACCESORIES_1,93,514,81.90661478599222
ACCESORIES_1_105,ACCESORIES,ACCESORIES_1,156,175,10.857142857142858
ACCESORIES_1_106,ACCESORIES,ACCESORIES_1,100,102,1.9607843137254901
ACCESORIES_1_107,ACCESORIES,ACCESORIES_1,79,110,28.18181818181818
ACCESORIES_1_108,ACCESORIES,ACCESORIES_1,243,155,56.774193548387096
ACCESORIES_1_109,ACCESORIES,ACCESORIES_1,100,177,43.50282485875706
ACCESORIES_1_110,ACCESORIES,ACCESORIES_1,59,197,70.05076142131979
ACCESORIES_1_111,ACCESORIES,ACCESORIES_1,103,230,55.21739130434783
ACCESORIES_1_112,ACCESORIES,ACCESORIES_1,35,127,72.44094488188976
ACCESORIES_1_113,ACCESORIES,ACCESORIES_1,58,219,73.51598173515981
ACCESORIES_1_114,ACCESORIES,ACCESORIES_1,49,104,52.88461538461539
ACCESORIES_1_115,ACCESORIES,ACCESORIES_1,448,758,40.89709762532981
ACCESORIES_1_116,ACCESORIES,ACCESORIES_1,159,122,30.327868852459016
ACCESORIES_1_117,ACCESORIES,ACCESORIES_1,41,151,72.84768211920529
ACCESORIES_1_118,ACCESORIES,ACCESORIES_1,47,114,58.77192982456141
ACCESORIES_1_119,ACCESORIES,ACCESORIES_1,199,225,11.555555555555555
ACCESORIES_1_120,ACCESORIES,ACCESORIES_1,105,118,11.016949152542372
ACCESORIES_1_121,ACCESORIES,ACCESORIES_1,116,310,62.58064516129033
ACCESORIES_1_122,ACCESORIES,ACCESORIES_1,205,225,8.88888888888889
ACCESORIES_1_123,ACCESORIES,ACCESORIES_1,133,154,13.636363636363635
ACCESORIES_1_124,ACCESORIES,ACCESORIES_1,169,104,62.5
ACCESORIES_1_125,ACCESORIES,ACCESORIES_1,82,112,26.785714285714285
ACCESORIES_1_126,ACCESORIES,ACCESORIES_1,133,135,1.4814814814814816
ACCESORIES_1_127,ACCESORIES,ACCESORIES_1,135,383,64.75195822454309
ACCESORIES_1_128,ACCESORIES,ACCESORIES_1,67,145,53.79310344827586
ACCESORIES_1_129,ACCESORIES,ACCESORIES_1,181,143,26.573426573426573
ACCESORIES_1_130,ACCESORIES,ACCESORIES_1,176,182,3.296703296703297
ACCESORIES_1_131,ACCESORIES,ACCESORIES_1,375,764,50.916230366492144
ACCESORIES_1_132,ACCESORIES,ACCESORIES_1,236,110,114.54545454545455
ACCESORIES_1_133,ACCESORIES,ACCESORIES_1,16,133,87.96992481203007
ACCESORIES_1_134,ACCESORIES,ACCESORIES_1,764,119,542.0168067226891
ACCESORIES_1_135,ACCESORIES,ACCESORIES_1,93,177,47.45762711864407
ACCESORIES_1_136,ACCESORIES,ACCESORIES_1,25,143,82.51748251748252
ACCESORIES_1_137,ACCESORIES,ACCESORIES_1,143,143,0.0
ACCESORIES_1_138,ACCESORIES,ACCESORIES_1,80,104,23.076923076923077
ACCESORIES_1_139,ACCESORIES,ACCESORIES_1,196,187,4.81283422459893
ACCESORIES_1_140,ACCESORIES,ACCESORIES_1,116,310,62.58064516129033
ACCESORIES_1_141,ACCESORIES,ACCESORIES_1,390,184,111.95652173913044
ACCESORIES_1_142,ACCESORIES,ACCESORIES_1,514,435,18.160919540229887
ACCESORIES_1_143,ACCESORIES,ACCESORIES_1,92,145,36.55172413793103
ACCESORIES_1_144,ACCESORIES,ACCESORIES_1,122,115,6.086956521739131
ACCESORIES_1_145,ACCESORIES,ACCESORIES_1,121,99,22.22222222222222
ACCESORIES_1_146,ACCESORIES,ACCESORIES_1,226,154,46.75324675324675
ACCESORIES_1_147,ACCESORIES,ACCESORIES_1,735,176,317.6136363636364
ACCESORIES_1_148,ACCESORIES,ACCESORIES_1,322,143,125.17482517482517
ACCESORIES_1_149,ACCESORIES,ACCESORIES_1,114,219,47.94520547945205
ACCESORIES_1_150,ACCESORIES,ACCESORIES_1,159,225,29.333333333333332
ACCESORIES_1_151,ACCESORIES,ACCESORIES_1,142,152,6.578947368421052
ACCESORIES_1_152,ACCESORIES,ACCESORIES_1,138,153,9.803921568627452
ACCESORIES_1_153,ACCESORIES,ACCESORIES_1,397,176,125.56818181818181
ACCESORIES_1_154,ACCESORIES,ACCESORIES_1,358,216,65.74074074074075
ACCESORIES_1_155,ACCESORIES,ACCESORIES_1,407,131,210.68702290076337
ACCESORIES_1_156,ACCESORIES,ACCESORIES_1,204,235,13.191489361702127
ACCESORIES_1_157,ACCESORIES,ACCESORIES_1,131,114,14.912280701754385
ACCESORIES_1_158,ACCESORIES,ACCESORIES_1,1505,514,192.80155642023345
ACCESORIES_1_159,ACCESORIES,ACCESORIES_1,144,107,34.57943925233645
ACCESORIES_1_160,ACCESORIES,ACCESORIES_1,120,134,10.44776119402985
ACCESORIES_1_161,ACCESORIES,ACCESORIES_1,195,764,74.47643979057592
ACCESORIES_1_162,ACCESORIES,ACCESORIES_1,50,110,54.54545454545454
ACCESORIES_1_163,ACCESORIES,ACCESORIES_1,58,144,59.72222222222222
ACCESORIES_1_164,ACCESORIES,ACCESORIES_1,203,143,41.95804195804196
ACCESORIES_1_165,ACCESORIES,ACCESORIES_1,41,142,71.12676056338029
ACCESORIES_1_166,ACCESORIES,ACCESORIES_1,348,176,97.72727272727273
ACCESORIES_1_167,ACCESORIES,ACCESORIES_1,414,764,45.811518324607334
ACCESORIES_1_168,ACCESORIES,ACCESORIES_1,254,154,64.93506493506493
ACCESORIES_1_169,ACCESORIES,ACCESORIES_1,693,852,18.661971830985916
ACCESORIES_1_170,ACCESORIES,ACCESORIES_1,44,131,66.41221374045801
ACCESORIES_1_171,ACCESORIES,ACCESORIES_1,150,214,29.906542056074763
ACCESORIES_1_172,ACCESORIES,ACCESORIES_1,162,138,17.391304347826086
ACCESORIES_1_173,ACCESORIES,ACCESORIES_1,142,114,24.561403508771928
ACCESORIES_1_174,ACCESORIES,ACCESORIES_1,24,143,83.21678321678321
ACCESORIES_1_175,ACCESORIES,ACCESORIES_1,25,130,80.76923076923077
ACCESORIES_1_176,ACCESORIES,ACCESORIES_1,89,104,14.423076923076922
ACCESORIES_1_177,ACCESORIES,ACCESORIES_1,218,139,56.83453237410072
ACCESORIES_1_178,ACCESORIES,ACCESORIES_1,1114,1290,13.643410852713178
ACCESORIES_1_179,ACCESORIES,ACCESORIES_1,376,222,69.36936936936937
ACCESORIES_1_180,ACCESORIES,ACCESORIES_1,78,131,40.458015267175576
ACCESORIES_1_181,ACCESORIES,ACCESORIES_1,30,130,76.92307692307693
ACCESORIES_1_183,ACCESORIES,ACCESORIES_1,63,154,59.09090909090909
ACCESORIES_1_184,ACCESORIES,ACCESORIES_1,62,151,58.94039735099338
ACCESORIES_1_185,ACCESORIES,ACCESORIES_1,121,107,13.084112149532709
ACCESORIES_1_186,ACCESORIES,ACCESORIES_1,117,119,1.680672268907563
ACCESORIES_1_187,ACCESORIES,ACCESORIES_1,82,146,43.83561643835616
ACCESORIES_1_188,ACCESORIES,ACCESORIES_1,63,151,58.27814569536424
ACCESORIES_1_189,ACCESORIES,ACCESORIES_1,1408,1290,9.147286821705427
ACCESORIES_1_190,ACCESORIES,ACCESORIES_1,33,178,81.46067415730337
ACCESORIES_1_191,ACCESORIES,ACCESORIES_1,75,143,47.55244755244755
ACCESORIES_1_192,ACCESORIES,ACCESORIES_1,16,118,86.4406779661017
ACCESORIES_1_193,ACCESORIES,ACCESORIES_1,144,145,0.6896551724137931
ACCESORIES_1_194,ACCESORIES,ACCESORIES_1,360,216,66.66666666666666
ACCESORIES_1_195,ACCESORIES,ACCESORIES_1,116,114,1.7543859649122806
ACCESORIES_1_197,ACCESORIES,ACCESORIES_1,41,151,72.84768211920529
ACCESORIES_1_198,ACCESORIES,ACCESORIES_1,174,149,16.778523489932887
ACCESORIES_1_199,ACCESORIES,ACCESORIES_1,127,110,15.454545454545453
ACCESORIES_1_200,ACCESORIES,ACCESORIES_1,152,171,11.11111111111111
ACCESORIES_1_201,ACCESORIES,ACCESORIES_1,303,161,88.19875776397515
ACCESORIES_1_202,ACCESORIES,ACCESORIES_1,144,225,36.0
ACCESORIES_1_203,ACCESORIES,ACCESORIES_1,124,155,20.0
ACCESORIES_1_204,ACCESORIES,ACCESORIES_1,358,141,153.90070921985816
ACCESORIES_1_205,ACCESORIES,ACCESORIES_1,34,104,67.3076923076923
ACCESORIES_1_206,ACCESORIES,ACCESORIES_1,296,142,108.45070422535213
ACCESORIES_1_207,ACCESORIES,ACCESORIES_1,80,234,65.8119658119658
ACCESORIES_1_208,ACCESORIES,ACCESORIES_1,180,107,68.22429906542055
ACCESORIES_1_209,ACCESORIES,ACCESORIES_1,812,731,11.080711354309166
ACCESORIES_1_210,ACCESORIES,ACCESORIES_1,119,151,21.192052980132452
ACCESORIES_1_211,ACCESORIES,ACCESORIES_1,378,193,95.85492227979275
ACCESORIES_1_212,ACCESORIES,ACCESORIES_1,26,108,75.92592592592592
ACCESORIES_1_213,ACCESORIES,ACCESORIES_1,134,158,15.18987341772152
ACCESORIES_1_214,ACCESORIES,ACCESORIES_1,65,92,29.347826086956523
ACCESORIES_1_215,ACCESORIES,ACCESORIES_1,134,118,13.559322033898304
ACCESORIES_1_216,ACCESORIES,ACCESORIES_1,95,225,57.77777777777777
ACCESORIES_1_217,ACCESORIES,ACCESORIES_1,54,125,56.8
ACCESORIES_1_218,ACCESORIES,ACCESORIES_1,29,102,71.56862745098039
ACCESORIES_1_219,ACCESORIES,ACCESORIES_1,54,163,66.87116564417178
ACCESORIES_1_220,ACCESORIES,ACCESORIES_1,125,228,45.17543859649123
ACCESORIES_1_221,ACCESORIES,ACCESORIES_1,53,139,61.87050359712231
ACCESORIES_1_223,ACCESORIES,ACCESORIES_1,189,310,39.03225806451613
ACCESORIES_1_224,ACCESORIES,ACCESORIES_1,75,110,31.818181818181817
ACCESORIES_1_225,ACCESORIES,ACCESORIES_1,66,514,87.15953307392996
ACCESORIES_1_226,ACCESORIES,ACCESORIES_1,260,184,41.30434782608695
ACCESORIES_1_227,ACCESORIES,ACCESORIES_1,50,130,61.53846153846154
ACCESORIES_1_228,ACCESORIES,ACCESORIES_1,318,222,43.24324324324324
ACCESORIES_1_229,ACCESORIES,ACCESORIES_1,54,122,55.73770491803278
ACCESORIES_1_230,ACCESORIES,ACCESORIES_1,25,106,76.41509433962264
ACCESORIES_1_231,ACCESORIES,ACCESORIES_1,201,222,9.45945945945946
ACCESORIES_1_232,ACCESORIES,ACCESORIES_1,455,1290,64.72868217054264
ACCESORIES_1_233,ACCESORIES,ACCESORIES_1,935,764,22.38219895287958
ACCESORIES_1_234,ACCESORIES,ACCESORIES_1,1777,1614,10.09913258983891
ACCESORIES_1_235,ACCESORIES,ACCESORIES_1,229,155,47.74193548387097
ACCESORIES_1_236,ACCESORIES,ACCESORIES_1,3,109,97.24770642201835
ACCESORIES_1_237,ACCESORIES,ACCESORIES_1,89,154,42.2077922077922
ACCESORIES_1_238,ACCESORIES,ACCESORIES_1,91,104,12.5
ACCESORIES_1_239,ACCESORIES,ACCESORIES_1,78,139,43.884892086330936
ACCESORIES_1_240,ACCESORIES,ACCESORIES_1,290,229,26.637554585152838
ACCESORIES_1_241,ACCESORIES,ACCESORIES_1,322,154,109.09090909090908
ACCESORIES_1_242,ACCESORIES,ACCESORIES_1,271,212,27.830188679245282
ACCESORIES_1_243,ACCESORIES,ACCESORIES_1,81,183,55.73770491803278
ACCESORIES_1_244,ACCESORIES,ACCESORIES_1,937,1290,27.364341085271317
ACCESORIES_1_245,ACCESORIES,ACCESORIES_1,50,140,64.28571428571429
ACCESORIES_1_246,ACCESORIES,ACCESORIES_1,80,111,27.927927927927925
ACCESORIES_1_247,ACCESORIES,ACCESORIES_1,212,123,72.35772357723577
ACCESORIES_1_248,ACCESORIES,ACCESORIES_1,345,435,20.689655172413794
ACCESORIES_1_249,ACCESORIES,ACCESORIES_1,215,143,50.349650349650354
ACCESORIES_1_250,ACCESORIES,ACCESORIES_1,52,143,63.63636363636363
ACCESORIES_1_251,ACCESORIES,ACCESORIES_1,99,136,27.205882352941174
ACCESORIES_1_252,ACCESORIES,ACCESORIES_1,407,761,46.517739816031536
ACCESORIES_1_253,ACCESORIES,ACCESORIES_1,79,139,43.16546762589928
ACCESORIES_1_254,ACCESORIES,ACCESORIES_1,1709,764,123.69109947643979
ACCESORIES_1_255,ACCESORIES,ACCESORIES_1,167,121,38.01652892561984
ACCESORIES_1_256,ACCESORIES,ACCESORIES_1,928,1290,28.06201550387597
ACCESORIES_1_257,ACCESORIES,ACCESORIES_1,42,114,63.1578947368421
ACCESORIES_1_258,ACCESORIES,ACCESORIES_1,189,115,64.34782608695652
ACCESORIES_1_259,ACCESORIES,ACCESORIES_1,153,208,26.442307692307693
ACCESORIES_1_260,ACCESORIES,ACCESORIES_1,23,133,82.70676691729322
ACCESORIES_1_261,ACCESORIES,ACCESORIES_1,1107,1290,14.186046511627906
ACCESORIES_1_262,ACCESORIES,ACCESORIES_1,141,143,1.3986013986013985
ACCESORIES_1_263,ACCESORIES,ACCESORIES_1,48,140,65.71428571428571
ACCESORIES_1_264,ACCESORIES,ACCESORIES_1,140,155,9.67741935483871
ACCESORIES_1_265,ACCESORIES,ACCESORIES_1,81,110,26.36363636363636
ACCESORIES_1_266,ACCESORIES,ACCESORIES_1,300,154,94.8051948051948
ACCESORIES_1_267,ACCESORIES,ACCESORIES_1,35,148,76.35135135135135
ACCESORIES_1_268,ACCESORIES,ACCESORIES_1,1477,1290,14.496124031007751
ACCESORIES_1_269,ACCESORIES,ACCESORIES_1,45,115,60.86956521739131
ACCESORIES_1_270,ACCESORIES,ACCESORIES_1,147,143,2.797202797202797
ACCESORIES_1_271,ACCESORIES,ACCESORIES_1,62,111,44.14414414414414
ACCESORIES_1_272,ACCESORIES,ACCESORIES_1,33,144,77.08333333333334
ACCESORIES_1_273,ACCESORIES,ACCESORIES_1,61,151,59.60264900662252
ACCESORIES_1_274,ACCESORIES,ACCESORIES_1,73,92,20.652173913043477
ACCESORIES_1_275,ACCESORIES,ACCESORIES_1,49,181,72.92817679558011
ACCESORIES_1_276,ACCESORIES,ACCESORIES_1,108,154,29.87012987012987
ACCESORIES_1_277,ACCESORIES,ACCESORIES_1,202,225,10.222222222222223
ACCESORIES_1_278,ACCESORIES,ACCESORIES_1,1147,854,34.30913348946136
ACCESORIES_1_279,ACCESORIES,ACCESORIES_1,279,162,72.22222222222221
ACCESORIES_1_280,ACCESORIES,ACCESORIES_1,100,118,15.254237288135593
ACCESORIES_1_281,ACCESORIES,ACCESORIES_1,202,139,45.32374100719424
ACCESORIES_1_282,ACCESORIES,ACCESORIES_1,220,110,100.0
ACCESORIES_1_283,ACCESORIES,ACCESORIES_1,85,118,27.966101694915253
ACCESORIES_1_284,ACCESORIES,ACCESORIES_1,48,143,66.43356643356644
ACCESORIES_1_285,ACCESORIES,ACCESORIES_1,42,103,59.22330097087378
ACCESORIES_1_286,ACCESORIES,ACCESORIES_1,713,764,6.675392670157068
ACCESORIES_1_287,ACCESORIES,ACCESORIES_1,162,111,45.94594594594595
ACCESORIES_1_288,ACCESORIES,ACCESORIES_1,851,854,0.351288056206089
ACCESORIES_1_289,ACCESORIES,ACCESORIES_1,73,140,47.85714285714286
ACCESORIES_1_290,ACCESORIES,ACCESORIES_1,38,113,66.3716814159292
ACCESORIES_1_292,ACCESORIES,ACCESORIES_1,89,151,41.05960264900662
ACCESORIES_1_293,ACCESORIES,ACCESORIES_1,68,197,65.48223350253807
ACCESORIES_1_294,ACCESORIES,ACCESORIES_1,61,119,48.739495798319325
ACCESORIES_1_295,ACCESORIES,ACCESORIES_1,1172,1290,9.147286821705427
ACCESORIES_1_296,ACCESORIES,ACCESORIES_1,102,108,5.555555555555555
ACCESORIES_1_297,ACCESORIES,ACCESORIES_1,204,165,23.636363636363637
ACCESORIES_1_298,ACCESORIES,ACCESORIES_1,292,120,143.33333333333334
ACCESORIES_1_299,ACCESORIES,ACCESORIES_1,96,20,380.0
ACCESORIES_1_300,ACCESORIES,ACCESORIES_1,185,143,29.37062937062937
ACCESORIES_1_301,ACCESORIES,ACCESORIES_1,181,180,0.5555555555555556
ACCESORIES_1_302,ACCESORIES,ACCESORIES_1,24,148,83.78378378378379
ACCESORIES_1_303,ACCESORIES,ACCESORIES_1,43,184,76.63043478260869
ACCESORIES_1_304,ACCESORIES,ACCESORIES_1,34,110,69.0909090909091
ACCESORIES_1_305,ACCESORIES,ACCESORIES_1,56,137,59.12408759124088
ACCESORIES_1_306,ACCESORIES,ACCESORIES_1,108,184,41.30434782608695
ACCESORIES_1_307,ACCESORIES,ACCESORIES_1,47,110,57.27272727272727
ACCESORIES_1_308,ACCESORIES,ACCESORIES_1,133,176,24.431818181818183
ACCESORIES_1_309,ACCESORIES,ACCESORIES_1,126,136,7.352941176470589
ACCESORIES_1_310,ACCESORIES,ACCESORIES_1,110,126,12.698412698412698
ACCESORIES_1_311,ACCESORIES,ACCESORIES_1,103,131,21.374045801526716
ACCESORIES_1_312,ACCESORIES,ACCESORIES_1,895,854,4.8009367681498825
ACCESORIES_1_313,ACCESORIES,ACCESORIES_1,156,153,1.9607843137254901
ACCESORIES_1_314,ACCESORIES,ACCESORIES_1,20,110,81.81818181818183
ACCESORIES_1_315,ACCESORIES,ACCESORIES_1,45,140,67.85714285714286
ACCESORIES_1_316,ACCESORIES,ACCESORIES_1,261,435,40.0
ACCESORIES_1_317,ACCESORIES,ACCESORIES_1,150,154,2.5974025974025974
ACCESORIES_1_318,ACCESORIES,ACCESORIES_1,96,112,14.285714285714285
ACCESORIES_1_319,ACCESORIES,ACCESORIES_1,528,441,19.727891156462583
ACCESORIES_1_320,ACCESORIES,ACCESORIES_1,312,178,75.28089887640449
ACCESORIES_1_321,ACCESORIES,ACCESORIES_1,160,175,8.571428571428571
ACCESORIES_1_322,ACCESORIES,ACCESORIES_1,53,110,51.81818181818182
ACCESORIES_1_323,ACCESORIES,ACCESORIES_1,447,269,66.17100371747212
ACCESORIES_1_324,ACCESORIES,ACCESORIES_1,214,165,29.6969696969697
ACCESORIES_1_325,ACCESORIES,ACCESORIES_1,32,139,76.97841726618705
ACCESORIES_1_326,ACCESORIES,ACCESORIES_1,124,130,4.615384615384616
ACCESORIES_1_327,ACCESORIES,ACCESORIES_1,192,171,12.280701754385964
ACCESORIES_1_328,ACCESORIES,ACCESORIES_1,97,175,44.57142857142857
ACCESORIES_1_329,ACCESORIES,ACCESORIES_1,257,110,133.63636363636365
ACCESORIES_1_330,ACCESORIES,ACCESORIES_1,362,171,111.69590643274854
ACCESORIES_1_331,ACCESORIES,ACCESORIES_1,61,435,85.97701149425288
ACCESORIES_1_332,ACCESORIES,ACCESORIES_1,141,171,17.543859649122805
ACCESORIES_1_333,ACCESORIES,ACCESORIES_1,80,140,42.857142857142854
ACCESORIES_1_334,ACCESORIES,ACCESORIES_1,99,104,4.807692307692308
ACCESORIES_1_335,ACCESORIES,ACCESORIES_1,0,133,100.0
ACCESORIES_1_336,ACCESORIES,ACCESORIES_1,27,121,77.68595041322314
ACCESORIES_1_337,ACCESORIES,ACCESORIES_1,448,197,127.41116751269035
ACCESORIES_1_338,ACCESORIES,ACCESORIES_1,234,143,63.63636363636363
ACCESORIES_1_339,ACCESORIES,ACCESORIES_1,238,154,54.54545454545454
ACCESORIES_1_340,ACCESORIES,ACCESORIES_1,68,154,55.84415584415584
